,,,,,,,,,,,,,,,,,,,Params,,,,Model,,,,,
0,2,male,59,0,0,13.5,S,0,0,0.7375,1.161368002,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
1,3,female,5,4,2,31.3875,S,4,2,0.0625,1.510377426,0,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.34,0.43
0,2,male,24,0,0,10.5,S,0,0,0.3,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,2,male,44,1,0,26,S,1,0,0.55,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
1,2,female,8,0,2,26.25,S,0,2,0.1,1.435366507,0,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.21
0,2,male,19,0,0,10.5,S,0,0,0.2375,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,2,male,33,0,0,12.275,S,0,0,0.4125,1.12303453,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.18
0,2,male,29,0,0,10.5,S,0,0,0.3625,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,3,male,22,0,0,7.125,S,0,0,0.275,0.90982337,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,30,0,0,7.225,C,0,0,0.375,0.915135907,1,0,1,0,0,1,,,,,,0.13,0.18,0.13,0.18,0.32,0.10
0,1,male,44,2,0,90,Q,2,0,0.55,1.959041392,1,0,0,1,0,1,,,,,,0.22,0.39,0.22,0.39,0.61,0.37
0,3,female,25,0,0,7.775,S,0,0,0.3125,0.943247125,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,24,0,2,14.5,S,0,2,0.3,1.190331698,0,1,0,0,1,1,,,,,,0.27,0.24,0.27,0.24,0.51,0.24
1,1,male,37,1,1,52.5542,S,1,1,0.4625,1.728793536,1,1,0,1,0,1,,,,,,0.24,0.37,0.24,0.37,0.61,0.15
0,2,male,54,1,0,26,S,1,0,0.675,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
0,3,female,29,1,1,10.4625,S,1,1,0.3625,1.059279349,0,1,0,0,0,1,,,,,,0.10,0.14,0.10,0.14,0.24,0.06
0,1,male,62,0,0,26.55,S,0,0,0.775,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.28
0,3,male,30,1,0,16.1,S,1,0,0.375,1.23299611,1,1,0,0,0,1,,,,,,0.08,0.15,0.08,0.15,0.23,0.05
0,3,female,41,0,2,20.2125,S,0,2,0.5125,1.326591855,0,1,0,0,0,1,,,,,,0.15,0.16,0.15,0.16,0.32,0.10
1,3,female,29,0,2,15.2458,C,0,2,0.3625,1.210741102,0,0,1,0,0,1,,,,,,0.22,0.21,0.22,0.21,0.43,0.32
1,1,female,30,0,0,86.5,S,0,0,0.375,1.942008053,0,1,0,1,0,1,,,,,,0.22,0.39,0.22,0.39,0.60,0.16
1,1,female,35,0,0,512.3292,C,0,0,0.4375,2.710395969,0,0,1,1,0,1,,,,,,0.34,0.51,0.34,0.51,0.85,0.02
1,2,female,50,0,1,26,S,0,1,0.625,1.431363764,0,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.24
1,3,male,3,4,2,31.3875,S,4,2,0.0375,1.510377426,1,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.34,0.43
0,1,male,52,1,1,79.65,S,1,1,0.65,1.906604372,1,1,0,1,0,1,,,,,,0.25,0.39,0.25,0.39,0.63,0.40
0,1,male,40,0,0,0,S,0,0,0.5,0,1,1,0,1,0,1,,,,,,0.09,0.23,0.09,0.23,0.31,0.10
0,2,male,36,0,0,10.5,S,0,0,0.45,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,3,male,16,4,1,39.6875,S,4,1,0.2,1.609461006,1,1,0,0,0,1,,,,,,0.14,0.18,0.14,0.18,0.32,0.10
1,3,male,25,1,0,7.775,S,1,0,0.3125,0.943247125,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,1,female,58,0,1,153.4625,S,0,1,0.725,2.18882306,0,1,0,1,0,1,,,,,,0.27,0.41,0.27,0.41,0.68,0.10
1,1,female,35,0,0,135.6333,S,0,0,0.4375,2.135556558,0,1,0,1,0,1,,,,,,0.23,0.40,0.23,0.40,0.63,0.13
1,3,male,25,0,0,0,S,0,0,0.3125,0,1,1,0,0,0,1,,,,,,0.00,0.05,0.00,0.05,0.05,0.91
1,2,female,41,0,1,19.5,S,0,1,0.5125,1.311753861,0,1,0,0,1,1,,,,,,0.24,0.25,0.24,0.25,0.49,0.26
0,1,male,37,0,1,29.7,C,0,1,0.4625,1.487138375,1,0,1,1,0,1,,,,,,0.29,0.42,0.29,0.42,0.70,0.50
1,1,female,63,1,0,77.9583,S,1,0,0.7875,1.897397789,0,1,0,1,0,1,,,,,,0.21,0.38,0.21,0.38,0.60,0.16
0,3,female,45,0,0,7.75,S,0,0,0.5625,0.942008053,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
0,3,male,7,4,1,29.125,Q,4,1,0.0875,1.478927056,1,0,0,0,0,1,,,,,,0.13,0.17,0.13,0.17,0.30,0.09
1,3,female,35,1,1,20.25,S,1,1,0.4375,1.327358934,0,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.52
0,3,male,65,0,0,7.75,Q,0,0,0.8125,0.942008053,1,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
0,3,male,28,0,0,7.8542,S,0,0,0.35,0.947149328,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,male,16,0,0,9.5,S,0,0,0.2,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
1,3,male,19,0,0,8.05,S,0,0,0.2375,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
0,3,male,33,0,0,8.6625,C,0,0,0.4125,0.985089507,1,0,1,0,0,1,,,,,,0.14,0.19,0.14,0.19,0.33,0.11
1,3,male,30,0,0,9.5,S,0,0,0.375,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.64
0,3,male,22,0,0,7.8958,S,0,0,0.275,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,male,42,0,0,13,S,0,0,0.525,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,3,female,22,0,0,7.75,Q,0,0,0.275,0.942008053,0,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,1,female,26,0,0,78.85,S,0,0,0.325,1.90227492,0,1,0,1,0,1,,,,,,0.21,0.38,0.21,0.38,0.60,0.16
1,1,female,19,1,0,91.0792,C,1,0,0.2375,1.964161537,0,0,1,1,0,1,,,,,,0.29,0.45,0.29,0.45,0.74,0.07
0,2,male,36,0,0,12.875,C,0,0,0.45,1.142232992,1,0,1,0,1,1,,,,,,0.27,0.29,0.27,0.29,0.56,0.32
0,3,female,24,0,0,8.85,S,0,0,0.3,0.99343623,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,3,male,24,0,0,7.8958,S,0,0,0.3,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,male,23.5,0,0,7.2292,C,0,0,0.29375,0.915357617,1,0,1,0,0,1,,,,,,0.13,0.18,0.13,0.18,0.32,0.10
0,1,female,2,1,2,151.55,S,1,2,0.025,2.183412212,0,1,0,1,0,1,,,,,,0.30,0.41,0.30,0.41,0.71,0.51
1,1,female,50,0,1,247.5208,C,0,1,0.625,2.395362743,0,0,1,1,0,1,,,,,,0.35,0.49,0.35,0.49,0.84,0.03
0,3,male,19,0,0,0,S,0,0,0.2375,0,1,1,0,0,0,1,,,,,,0.00,0.05,0.00,0.05,0.05,0.00
1,1,male,0.92,1,2,151.55,S,1,2,0.0115,2.183412212,1,1,0,1,0,1,,,,,,0.30,0.41,0.30,0.41,0.71,0.08
1,1,female,17,1,0,108.9,C,1,0,0.2125,2.040997692,0,0,1,1,0,1,,,,,,0.29,0.46,0.29,0.46,0.75,0.06
0,2,male,30,1,0,24,C,1,0,0.375,1.397940009,1,0,1,0,1,1,,,,,,0.29,0.31,0.29,0.31,0.60,0.36
1,1,female,30,0,0,56.9292,C,0,0,0.375,1.762897531,0,0,1,1,0,1,,,,,,0.27,0.44,0.27,0.44,0.71,0.08
1,1,female,24,0,0,83.1583,C,0,0,0.3,1.925096954,0,0,1,1,0,1,,,,,,0.29,0.45,0.29,0.45,0.73,0.07
1,1,female,18,2,2,262.375,C,2,2,0.225,2.420574549,0,0,1,1,0,1,,,,,,0.38,0.50,0.38,0.50,0.88,0.01
0,2,female,26,1,1,26,S,1,1,0.325,1.431363764,0,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.26
0,3,male,28,0,0,7.8958,S,0,0,0.35,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,2,male,43,1,1,26.25,S,1,1,0.5375,1.435366507,1,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.26
1,3,female,26,0,0,7.8542,S,0,0,0.325,0.947149328,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,2,female,24,1,0,26,S,1,0,0.3,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
0,2,male,54,0,0,14,S,0,0,0.675,1.176091259,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.44,0.19
1,1,female,31,0,2,164.8667,S,0,2,0.3875,2.219759204,0,1,0,1,0,1,,,,,,0.30,0.42,0.30,0.42,0.72,0.08
1,1,female,40,1,1,134.5,C,1,1,0.5,2.131939295,0,0,1,1,0,1,,,,,,0.33,0.47,0.33,0.47,0.80,0.04
0,3,male,22,0,0,7.25,S,0,0,0.275,0.916453949,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,27,0,0,7.8958,S,0,0,0.3375,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,30,0,0,12.35,Q,0,0,0.375,1.125481266,0,0,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.33
1,2,female,22,1,1,29,S,1,1,0.275,1.477121255,0,1,0,0,1,1,,,,,,0.26,0.26,0.26,0.26,0.52,0.23
1,1,female,36,0,0,135.6333,C,0,0,0.45,2.135556558,0,0,1,1,0,1,,,,,,0.30,0.47,0.30,0.47,0.77,0.05
0,3,male,61,0,0,6.2375,S,0,0,0.7625,0.859588577,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.17,0.03
1,2,female,36,0,0,13,S,0,0,0.45,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,3,female,31,1,1,20.525,S,1,1,0.3875,1.33294316,0,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.52
1,1,female,16,0,1,57.9792,C,0,1,0.2,1.770698877,0,0,1,1,0,1,,,,,,0.31,0.44,0.31,0.44,0.75,0.06
0,1,male,45.5,0,0,28.5,S,0,0,0.56875,1.469822016,1,1,0,1,0,1,,,,,,0.19,0.35,0.19,0.35,0.53,0.28
0,1,male,38,0,1,153.4625,S,0,1,0.475,2.18882306,1,1,0,1,0,1,,,,,,0.27,0.41,0.27,0.41,0.68,0.46
0,3,male,16,2,0,18,S,2,0,0.2,1.278753601,1,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,1,male,29,1,0,66.6,S,1,0,0.3625,1.829946696,1,1,0,1,0,1,,,,,,0.21,0.38,0.21,0.38,0.59,0.35
1,1,female,41,0,0,134.5,C,0,0,0.5125,2.131939295,0,0,1,1,0,1,,,,,,0.30,0.47,0.30,0.47,0.77,0.06
1,3,male,45,0,0,8.05,S,0,0,0.5625,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
0,1,male,45,0,0,35.5,S,0,0,0.5625,1.562292864,1,1,0,1,0,1,,,,,,0.19,0.36,0.19,0.36,0.55,0.30
1,2,male,2,1,1,26,S,1,1,0.025,1.431363764,1,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.24
1,1,female,24,3,2,263,S,3,2,0.3,2.421603927,0,1,0,1,0,1,,,,,,0.31,0.43,0.31,0.43,0.75,0.06
0,2,male,28,0,0,13,S,0,0,0.35,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,2,male,25,0,0,13,S,0,0,0.3125,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,2,male,36,0,0,13,S,0,0,0.45,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
1,2,female,24,0,0,13,S,0,0,0.3,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,2,female,40,0,0,13,S,0,0,0.5,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,3,male,3,1,1,15.9,S,1,1,0.0375,1.227886705,1,1,0,0,0,1,,,,,,0.11,0.15,0.11,0.15,0.27,0.54
0,3,male,42,0,0,8.6625,S,0,0,0.525,0.985089507,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,3,male,23,0,0,9.225,S,0,0,0.2875,1.009663317,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,3,male,15,1,1,7.2292,C,1,1,0.1875,0.915357617,1,0,1,0,0,1,,,,,,0.16,0.19,0.16,0.19,0.35,0.12
0,3,male,25,1,0,17.8,S,1,0,0.3125,1.274157849,1,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,3,male,28,0,0,9.5,S,0,0,0.35,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
1,1,female,22,0,1,55,S,0,1,0.275,1.748188027,0,1,0,1,0,1,,,,,,0.24,0.37,0.24,0.37,0.61,0.15
0,2,female,38,0,0,13,S,0,0,0.475,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,3,male,40,1,4,27.9,S,1,4,0.5,1.460897843,1,1,0,0,0,1,,,,,,0.23,0.18,0.23,0.18,0.41,0.17
0,2,male,29,1,0,27.7208,C,1,0,0.3625,1.458196533,1,0,1,0,1,1,,,,,,0.29,0.32,0.29,0.32,0.61,0.37
0,3,female,45,0,1,14.4542,C,0,1,0.5625,1.189046528,0,0,1,0,0,1,,,,,,0.18,0.21,0.18,0.21,0.39,0.15
0,3,male,35,0,0,7.05,S,0,0,0.4375,0.90579588,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,30,0,0,7.25,S,0,0,0.375,0.916453949,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
1,1,female,60,1,0,75.25,C,1,0,0.75,1.882239848,0,0,1,1,0,1,,,,,,0.28,0.45,0.28,0.45,0.73,0.07
1,1,female,24,0,0,69.3,C,0,0,0.3,1.846955325,0,0,1,1,0,1,,,,,,0.28,0.44,0.28,0.44,0.72,0.08
1,1,male,25,1,0,55.4417,C,1,0,0.3125,1.751600086,1,0,1,1,0,1,,,,,,0.27,0.43,0.27,0.43,0.71,0.09
0,3,male,18,1,0,6.4958,S,1,0,0.225,0.87481799,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,19,0,0,8.05,S,0,0,0.2375,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,1,male,22,0,0,135.6333,C,0,0,0.275,2.135556558,1,0,1,1,0,1,,,,,,0.30,0.47,0.30,0.47,0.77,0.59
0,3,female,3,3,1,21.075,S,3,1,0.0375,1.343900712,0,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.08
1,3,female,22,0,0,7.25,S,0,0,0.275,0.916453949,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.67
0,1,male,27,0,2,211.5,C,0,2,0.3375,2.327358934,1,0,1,1,0,1,,,,,,0.38,0.49,0.38,0.49,0.87,0.75
0,3,male,20,0,0,4.0125,C,0,0,0.25,0.700054386,1,0,1,0,0,1,,,,,,0.12,0.17,0.12,0.17,0.28,0.08
0,3,male,19,0,0,7.775,S,0,0,0.2375,0.943247125,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,1,female,42,0,0,227.525,C,0,0,0.525,2.358933718,0,0,1,1,0,1,,,,,,0.31,0.49,0.31,0.49,0.80,0.04
1,3,female,1,0,2,15.7417,C,0,2,0.0125,1.223799555,0,0,1,0,0,1,,,,,,0.22,0.22,0.22,0.22,0.43,0.32
0,3,male,32,0,0,7.925,S,0,0,0.4,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,1,female,35,1,0,52,S,1,0,0.4375,1.72427587,0,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.18
0,2,male,18,0,0,73.5,S,0,0,0.225,1.872156273,1,1,0,0,1,1,,,,,,0.25,0.29,0.25,0.29,0.54,0.29
0,3,male,1,5,2,46.9,S,5,2,0.0125,1.680335513,1,1,0,0,0,1,,,,,,0.18,0.19,0.18,0.19,0.37,0.14
1,2,female,36,0,0,13,S,0,0,0.45,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,2,female,17,0,0,12,C,0,0,0.2125,1.113943352,0,0,1,0,1,1,,,,,,0.27,0.29,0.27,0.29,0.56,0.19
1,1,male,36,1,2,120,S,1,2,0.45,2.08278537,1,1,0,1,0,1,,,,,,0.29,0.41,0.29,0.41,0.70,0.09
1,3,male,21,0,0,7.7958,S,0,0,0.2625,0.944275346,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,male,28,2,0,7.925,S,2,0,0.35,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,1,female,23,1,0,113.275,C,1,0,0.2875,2.05795123,0,0,1,1,0,1,,,,,,0.29,0.46,0.29,0.46,0.75,0.06
1,3,female,24,0,2,16.7,S,0,2,0.3,1.247973266,0,1,0,0,0,1,,,,,,0.15,0.15,0.15,0.15,0.30,0.48
0,3,male,22,0,0,7.7958,S,0,0,0.275,0.944275346,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,female,31,0,0,7.8542,S,0,0,0.3875,0.947149328,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,2,male,46,0,0,26,S,0,0,0.575,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
0,2,male,23,0,0,10.5,S,0,0,0.2875,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
1,2,female,28,0,0,12.65,S,0,0,0.35,1.135132651,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.33
1,3,male,39,0,0,7.925,S,0,0,0.4875,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,male,26,0,0,8.05,S,0,0,0.325,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,female,21,1,0,9.825,S,1,0,0.2625,1.034427905,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,3,male,28,1,0,15.85,S,1,0,0.35,1.226599905,1,1,0,0,0,1,,,,,,0.08,0.15,0.08,0.15,0.23,0.05
0,3,female,20,0,0,8.6625,S,0,0,0.25,0.985089507,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,2,male,34,1,0,21,S,1,0,0.425,1.342422681,1,1,0,0,1,1,,,,,,0.21,0.25,0.21,0.25,0.46,0.21
0,3,male,51,0,0,7.75,S,0,0,0.6375,0.942008053,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
1,2,male,3,1,1,18.75,S,1,1,0.0375,1.2955671,1,1,0,0,1,1,,,,,,0.24,0.25,0.24,0.25,0.49,0.26
0,3,male,21,0,0,7.775,S,0,0,0.2625,0.943247125,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,1,female,33,1,0,90,Q,1,0,0.4125,1.959041392,0,0,0,1,0,1,,,,,,0.22,0.39,0.22,0.39,0.61,0.15
1,3,male,44,0,0,7.925,S,0,0,0.55,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,2,female,34,1,1,32.5,S,1,1,0.425,1.525044807,0,1,0,0,1,1,,,,,,0.26,0.26,0.26,0.26,0.52,0.23
1,2,female,18,0,2,13,S,0,2,0.225,1.146128036,0,1,0,0,1,1,,,,,,0.27,0.24,0.27,0.24,0.50,0.25
0,2,male,30,0,0,13,S,0,0,0.375,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,3,female,10,0,2,24.15,S,0,2,0.125,1.400537989,0,1,0,0,0,1,,,,,,0.16,0.17,0.16,0.17,0.33,0.11
0,3,male,21,0,0,7.7333,Q,0,0,0.2625,0.941178379,1,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
0,3,male,29,0,0,7.875,S,0,0,0.3625,0.948168362,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,female,28,1,1,14.4,S,1,1,0.35,1.187520721,0,1,0,0,0,1,,,,,,0.11,0.15,0.11,0.15,0.26,0.07
0,3,male,18,1,1,20.2125,S,1,1,0.225,1.326591855,1,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.08
1,2,female,28,1,0,26,S,1,0,0.35,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
1,2,female,19,0,0,26,S,0,0,0.2375,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
1,3,male,32,0,0,8.05,S,0,0,0.4,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
1,1,male,28,0,0,26.55,S,0,0,0.35,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
1,2,female,42,1,0,26,S,1,0,0.525,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
0,3,male,17,0,0,7.125,S,0,0,0.2125,0.90982337,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,1,male,50,1,0,55.9,S,1,0,0.625,1.755112266,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.58,0.33
1,1,female,14,1,2,120,S,1,2,0.175,2.08278537,0,1,0,1,0,1,,,,,,0.29,0.41,0.29,0.41,0.70,0.09
0,3,female,21,2,2,34.375,S,2,2,0.2625,1.548696449,0,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.35,0.12
1,2,female,24,2,3,18.75,S,2,3,0.3,1.2955671,0,1,0,0,1,1,,,,,,0.31,0.25,0.31,0.25,0.56,0.19
0,1,male,64,1,4,263,S,1,4,0.8,2.421603927,1,1,0,1,0,1,,,,,,0.38,0.44,0.38,0.44,0.82,0.67
0,2,male,31,0,0,10.5,S,0,0,0.3875,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
1,2,female,45,1,1,26.25,S,1,1,0.5625,1.435366507,0,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.24
0,3,male,20,0,0,9.5,S,0,0,0.25,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,3,male,25,1,0,7.775,S,1,0,0.3125,0.943247125,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,28,0,0,13,S,0,0,0.35,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,1,male,4,0,2,81.8583,S,0,2,0.05,1.918336019,1,1,0,1,0,1,,,,,,0.28,0.39,0.28,0.39,0.67,0.11
1,2,female,13,0,1,19.5,S,0,1,0.1625,1.311753861,0,1,0,0,1,1,,,,,,0.24,0.25,0.24,0.25,0.49,0.26
1,1,male,34,0,0,26.55,S,0,0,0.425,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
1,3,female,5,2,1,19.2583,C,2,1,0.0625,1.306602998,0,0,1,0,0,1,,,,,,0.19,0.22,0.19,0.22,0.41,0.35
1,1,male,52,0,0,30.5,S,0,0,0.65,1.498310554,1,1,0,1,0,1,,,,,,0.19,0.35,0.19,0.35,0.54,0.21
0,2,male,36,1,2,27.75,S,1,2,0.45,1.458637849,1,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.30
0,1,male,30,0,0,27.75,C,0,0,0.375,1.458637849,1,0,1,1,0,1,,,,,,0.25,0.41,0.25,0.41,0.66,0.44
1,1,male,49,1,0,89.1042,C,1,0,0.6125,1.954745035,1,0,1,1,0,1,,,,,,0.29,0.45,0.29,0.45,0.74,0.07
1,3,male,29,0,0,7.8958,C,0,0,0.3625,0.94918501,1,0,1,0,0,1,,,,,,0.13,0.19,0.13,0.19,0.32,0.46
0,1,male,65,0,0,26.55,S,0,0,0.8125,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.28
1,2,female,50,0,0,10.5,S,0,0,0.625,1.06069784,0,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.34
1,1,male,48,0,0,26.55,S,0,0,0.6,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
0,3,male,34,0,0,8.05,S,0,0,0.425,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,1,male,47,0,0,38.5,S,0,0,0.5875,1.596597096,1,1,0,1,0,1,,,,,,0.19,0.36,0.19,0.36,0.55,0.31
0,2,male,48,0,0,13,S,0,0,0.6,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,3,male,38,0,0,7.05,S,0,0,0.475,0.90579588,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,1,male,56,0,0,26.55,S,0,0,0.7,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.28
1,3,female,0.75,2,1,19.2583,C,2,1,0.009375,1.306602998,0,0,1,0,0,1,,,,,,0.19,0.22,0.19,0.22,0.41,0.35
0,3,male,38,0,0,8.6625,S,0,0,0.475,0.985089507,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
1,2,female,33,1,2,27.75,S,1,2,0.4125,1.458637849,0,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.20
